incident_id,source_system,source_article,incident_day,target_text,target_country_guess,actor,strike_type,damage_confirmed,energy_relevant,target_lat,target_lon,description,source_urls
iransm_s088,iranstrikemap,https://iranstrikemap.com,2026-03-02,US Embassy — Riyadh Diplomatic Quarter,Saudi Arabia,Iran,drone,TRUE,TRUE,24.6931,46.623,"Two Iranian drones struck the US Embassy compound in Riyadh's Diplomatic Quarter, confirmed by Saudi Arabia's Defence Ministry. Saudi MoD stated a 'limited' fire broke out at the US Embassy compound with minor structural damage. Four AFP witnesses reported hearing two explosions and seeing thick smoke rising over the Diplomatic Quarter. A senior US official confirmed the embassy was hit, likely by a UAV (Axios/Barak Ravid). Reuters cited two sources confirming a fire at the embassy after an explosion. India Today confirmed: 'Saudi Arabia's Defence Ministry has confirmed that a limited fire broke out at the US Embassy in Riyadh after it was hit by two drones.' This is the FIRST confirmed physical drone strike to impact Saudi Arabian territory in this conflict — previous Iranian drone/missile attacks on Ras Tanura/Aramco were both intercepted before impact. Part of Iran's Day 3 campaign targeting US diplomatic and military facilities across the Gulf. No confirmed casualties as of initial reporting.","Saudi Arabia Defence Ministry (official, via Al Arabiya — March 2 2026) | Reuters (two sources, via Ynet News — March 2 2026) | The Guardian liveblog (March 2 2026) | India Today (March 2 2026) | Times of India / AFP (four witnesses — March 2 2026) | Axios / Barak Ravid (senior US official confirmation — March 2 2026)"
wiki_20260302_us_navy_fifth_fleet_base_89,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-02,US Navy Fifth Fleet base,Iran,Iran,unknown,TRUE,FALSE,,,* US Navy Fifth Fleet base heavily damaged in Iranian attacks,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain
iransm_s075,iranstrikemap,https://iranstrikemap.com,2026-03-02,West Jerusalem Road — Iranian Ballistic Missile Direct Hit,Israel,Iran,missile,TRUE,FALSE,31.782,35.191,"An Iranian ballistic missile struck a road in West Jerusalem early March 2, causing property damage to the surrounding road, damaging a civilian vehicle, and wounding six people. Al Jazeera published video footage of the aftermath. Wikipedia documents the strike as part of Iran's Day 3 missile campaign. Separate from the earlier warhead impact near Sultan's Pool (s055, Feb 28) and the Tel Aviv missile strike (s028). Part of Iran's continued Day 3 missile offensive after overnight lull.",Wikipedia (2026 Israeli–United States strikes on Iran) | Al Jazeera (video — 'Iranian ballistic missile strike on West Jerusalem')
iransm_s072,iranstrikemap,https://iranstrikemap.com,2026-03-02,Yazd — 6 Military/IRGC Sites,,unknown,airstrike,TRUE,TRUE,31.898,54.368,"Iran's state-run news agency IRNA reported early Monday March 2 that a series of US-Israeli strikes hit six locations around the central desert city of Yazd. IRNA warned locals 'to avoid unnecessary travel.' Yazd sits approximately 660 km (410 miles) southeast of Tehran in the central desert and is a major industrial city. The six strikes represent one of the broadest coordinated strike packages on a single city outside Tehran. IRCS confirmed 131 cities total under attack as of March 2 — Yazd's inclusion suggests the campaign continues to expand geographically beyond the previously confirmed target set. No specific targets named by IRNA; likely IRGC, air defense, or missile-related facilities given the strike density. First confirmed strikes on Yazd in this conflict.",IRNA (Iranian state media) | AP News (March 2 2026 liveblog) | Times of Israel liveblog
wiki_20260302_an_oil_refinery_172,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-03-02,an oil refinery,Qatar,Iran,ballistic_missile,TRUE,TRUE,,,"Iran launched more strikes against the Gulf States. Explosions were reported in Dubai, Abu Dhabi, and Doha. Smoke rose from the US embassy in Kuwait, According to Kuwait News Agency, an oil refinery was hit by shrapnel. US-flagged tanker Stena Imperative was hit by projectiles off Bahrain, causing a fire that was extinguished. In Bahrain, sirens had sounded across the country. An Iranian strike targeted Mina Salman port, causing a fire. UAE officials claimed to have downed 148 Iranian drones, nine ballistic missiles, and half a dozen cruise missiles.",https://www.israelnationalnews.com/news/423290 | https://www.cnn.com/world/live-news/iran-israel-us-attack-03-02-26-intl-hnk | https://www.cbsnews.com/live-updates/iran-us-war-day-3-american-deaths-israel-gulf-allies-hit-missile-strikes/ | https://www.ft.com/content/dac7a77d-e0f4-4f52-a3d4-55b145e67347 | https://www.reuters.com/business/energy/saudi-aramco-shuts-ras-tanura-refinery-after-drone-strike-source-says-2026-03-02 | https://www.reuters.com/world/middle-east/us-flagged-products-tanker-hit-by-unknown-projectiles-bahrain-port-sources-say-2026-03-02/ | https://www.aljazeera.com/news/liveblog/2026/3/2/us-israel-attack-iran-live | https://aje.news/wwomw4?update=4353493 | https://www.iranintl.com/en/202603026672
wiki_20260302_as_the_hamad_international_air_71,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Qatar,2026-03-02,as the Hamad International Airport,Qatar,Iran,drone,FALSE,TRUE,,,"On 2 March 2026, Qatari official Majed al-Ansari stated that a new wave of Iranian missiles that targeted locations such as the Hamad International Airport were intercepted, while announcing that Qatar would not engage with Iran. The same day, the Ministry of Defence in Qatar claimed that Qatari F-15<nowiki/>s had downed two Su-24 bombers from Iran and intercepted multiple drone and missile strikes. Anonymous sources told CNN that the Su-24 targeted al-Udeid Air Base and Ras Laffan Industrial City, and that the aircraft were two minutes away from reaching Qatari territory when they were downed. A search is underway to recover the crew. This was the first air-air kill for the QEAF. A UK Royal Air Force Typhoon shot down an attack drone directed at Qatar. That same day, the Qatari Ministry of Defense announced that Ras Laffan Industrial City and Mesaieed Industrial Area were struck by two Iranian drones.",https://www.reuters.com/world/middle-east/iranian-attacks-targeted-civilian-infrastructure-qatar-including-airport-2026-03-02/ | https://www.jpost.com/middle-east/article-888568 | https://web.archive.org/web/20260302171931/https://www.jpost.com/middle-east/article-888568 | https://www.cnn.com/2026/03/04/middleeast/qatar-downs-iran-bombers-us-base-intl | https://web.archive.org/web/20260305031456/https://www.cnn.com/2026/03/04/middleeast/qatar-downs-iran-bombers-us-base-intl | https://www.gov.uk/government/news/uk-sends-warship-and-drone-busting-helicopters-to-the-eastern-mediterranean-to-protect-brits-and-allies-in-the-region | https://www.bloomberg.com/news/articles/2026-03-04/iran-war-dents-qatar-s-reputation-as-lng-s-safest-bet | https://www.cnn.com/world/live-news/iran-war-us-israel-trump-03-03-26?post-id=cmmb4jjm400003576cql9002i
wiki_20260302_it_attacked_an_idf_base_177,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-03-02,it attacked an IDF base,Israel,Israel,intercepted_debris,TRUE,FALSE,,,"Projectiles were launched from within Lebanon toward Israel in the early hours of 2 March, setting off sirens across Haifa and the Upper Galilee. The IDF said that it intercepted a rocket from Hezbollah, while others hit open areas. The IDF spokesperson issued an emergency statement saying that the attack is to be considered ""an official declaration of war by Hezbollah"", vowing to ""neutralize"" the threat. Hezbollah confirmed its responsibility, saying that it attacked an IDF base in Haifa in response to Khamenei's killing.",https://www.aljazeera.com/video/newsfeed/2026/3/2/video-shows-iranian-missile-strike-hit-beersheba-israel | https://www.theguardian.com/us-news/live/2026/mar/01/us-israel-war-on-iran-ayatollah-ali-khamenei-i-dead-latest-reports?CMP=share_btn_url&page=with%3Ablock-69a4c8fc8f0863f6a3eff6c7#block-69a4c8fc8f0863f6a3eff6c7 | https://www.timesofisrael.com/liveblog_entry/rockets-launched-from-lebanon-for-first-time-in-months-setting-off-sirens-across-northern-israel/ | https://www.ynetnews.com/article/08vx55nmo | https://www.jfeed.com/news/tb8tr7 | https://aje.news/wwomw4?update=4353584 | https://www.ynetnews.com/article/bj5jpbmfbl
wiki_20260302_occurred_near_the_erbil_airpor_168,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-03-02,occurred near the Erbil Airport,Iraq,Iran,drone,TRUE,TRUE,36.37393802906005,43.91553339499219,An explosion occurred near the Erbil Airport after an attack by Iraqi militia drones.,https://aje.news/p4rw7y?update=4351683 | https://www.hjnews.com/world/syria-iran/image_0c0cf6ef-aaca-5464-887f-50bf088af3ef.html | https://www.aa.com.tr/en/middle-east/3-injured-including-2-children-in-damascus-after-missile-debris-falls-amid-israel-iran-tensions-report/3846218 | https://www.bbc.co.uk/news/live/cn5ge95q6y7t?post=asset%3Ab765c35c-353a-49db-9fe9-8e35d0214492#post
wiki_20260302_refining_facility_173,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-03-02,refining facility,Saudi Arabia,Iran,drone,TRUE,TRUE,,,"A refining facility was damaged in Aramco's Ras Tanura in Saudi Arabia, causing a contained fire. It was initially believed to be caused by a drone attack, but Saudi officials stated it was debris from an intercepted Iranian missile, and Iran denied it had targeting the facility. All staff members at the US-Jordanian embassy were evacuated ""due to a threat"". Two drones targeted the US Victory Base near Baghdad International Airport, one of which reportedly struck the base. There were reports of explosions in Erbil, Kurdistan Region, Iraq. A pro-Iran group called the ""Guardians of the Blood Brigade"" stated they were behind these two attacks, and claimed they were in retaliation for Khamenei's assassination.",https://www.iranintl.com/en/202603026672 | https://www.timesofisrael.com/liveblog_entry/small-fire-under-control-at-saudi-aramco-refinery-after-apparent-drone-strike/ | https://www.aljazeera.com/video/newsfeed/2026/3/2/missile-debris-sparks-fire-at-saudis-aramco-oil-refinery | https://edition.cnn.com/2026/03/02/world/video/iran-denies-targeting-saudi-oil-ldn-digvid | https://www.nbcnews.com/world/middle-east/live-blog/live-updates-iran-war-israel-us-hezbollah-lebanon-khamenei-trump-rcna261259 | https://www.aljazeera.com/news/liveblog/2026/3/2/us-israel-attack-iran-live | https://aje.news/wwomw4?update=4354362 | https://aje.news/wwomw4?update=4356034 | https://cyprus-mail.com/2026/03/02/paphos-airport-evacuated-reports
wiki_20260302_the_base_169,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-03-02,the base,Iran,Iran,drone,TRUE,TRUE,,,"Around 00:20 UTC, the Royal Air Force station at Akrotiri, Cyprus, was targeted by a suspected drone strike, setting off air raid sirens across Akrotiri and Dhekelia. Five drones are reportedly intercepted although one managed to hit the airfield, causing minor damage. The British military automated alert system stated that there was an ""ongoing security threat"", and the UK Ministry of Defence claimed that ""the base has responded"" to the attack. This was later confirmed by Cypriot authorities. The drones were launched before the UK allowed the US to use its military bases for operations against Iran. UK Defence Secretary John Healey said that he did not believe they were under attack. Defence Minister of Cyprus Vasilis Palmas denied that missiles were launched at Cyprus, and Prime Minister Keir Starmer affirmed this.",https://www.aa.com.tr/en/middle-east/3-injured-including-2-children-in-damascus-after-missile-debris-falls-amid-israel-iran-tensions-report/3846218 | https://www.bbc.co.uk/news/live/cn5ge95q6y7t?post=asset%3Ab765c35c-353a-49db-9fe9-8e35d0214492#post | https://cyprus-mail.com/2026/03/02/security-threat-declared-at-uk-cyprus-bases | https://english.news.cn/europe/20260302/f1219f92cf764cfda2bcbac966935263/c.html | https://www.theguardian.com/us-news/live/2026/mar/01/us-israel-war-on-iran-ayatollah-ali-khamenei-i-dead-latest-reports?CMP=share_btn_url&page=with%3Ablock-69a4d2188f080cbafb286761#block-69a4d2188f080cbafb286761 | https://www.theguardian.com/us-news/live/2026/mar/01/us-israel-war-on-iran-ayatollah-ali-khamenei-i-dead-latest-reports?CMP=share_btn_url&page=with%3Ablock-69a4d4488f080cbafb286774#block-69a4d4488f080cbafb286774 | https://www.theguardian.com/world/2026/mar/02/uk-airbase-raf-akrotiri-cyprus-suspected-drone-strike | https://aje.news/p4rw7y?update=4350207 | https://www.jpost.com/international/article-888356 | https://www.independent.co.uk/news/uk/politics/iran-missiles-cyprus-defence-secretary-b2929655.html
wiki_20260302_the_direction_of_the_base_96,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-02,the direction of the base,Bahrain,Iran,drone,TRUE,TRUE,,,"The American Fifth Fleet headquarters, located in Bahrain, was struck during an Iranian missile and drone attack on 28 February. Around 300 British personnel were stationed nearby, but no casualties were reported. Later footage showed smoke rising in the direction of the base. CBC News, citing the Canadian Department of National Defence's website, reported that Canadian soldiers were present on exchange with the United States military at the U.S. Fifth Fleet headquarters in Bahrain at the time of the attack.",https://www.timesofisrael.com/liveblog_entry/bahrain-sirens-activated-as-iran-targets-us-bases/ | https://www.theguardian.com/world/2026/mar/01/iran-missile-strikes-bahrain-iraq-uk-military-personnel-middle-east | https://www.cnn.com/world/live-news/israel-iran-attack-02-28-26-hnk-intl?post-id=cmm64boa9000m356rh4can18y | https://www.cbc.ca/news/politics/iran-air-strikes-canada-israel-war-9.7110268 | https://abcnews.com/International/warning-americans-bahrain-after-iran-strikes-dubai-gulf/story?id=130648905
wiki_20260302_thumb_a_photo_of_the_iris_shah_181,wikipedia,https://en.wikipedia.org/wiki/Timeline_of_the_2026_Iran_war,2026-03-02,thumb|A photo of the IRIS Shahid Soleimani after being struck by American forces,Iran,Iran,unknown,FALSE,FALSE,31.89021200002773,31.984952999939058,thumb|A photo of the IRIS Shahid Soleimani after being struck by American forces during the 2026 Iran war.,https://www.cbsnews.com/live-updates/iran-us-war-day-3-american-deaths-israel-gulf-allies-hit-missile-strikes/ | https://www.theguardian.com/world/2026/mar/02/us-israel-war-on-iran-dramatically-expands-across-middle-east
wiki_20260302_casualties2_16_civilians_injur_65,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Qatar,2026-03-02,| casualties2 = 16 civilians injured<br> None,,unknown,unknown,TRUE,FALSE,,,| casualties2 = 16 civilians injured<br> None,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Qatar
wiki_20260302_casualties2_2_dod_employes_wou_88,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-02,| casualties2 = 2 DOD employes wounded<br>1 Oil tanker damaged<br /> 1 civilian ,,unknown,unknown,TRUE,TRUE,,,"| casualties2 = 2 DOD employes wounded<br>1 Oil tanker damaged<br /> 1 civilian killed, 50 injured<br /> 1 civilian killed <br /> None",https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain
wiki_20260303_2026_iranian_strikes_on_israel_112,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,*2026 Iranian strikes on Israel,Iran,Iran,unknown,FALSE,FALSE,,,*2026 Iranian strikes on Israel,https://www.aa.com.tr/en/middle-east/bahrain-says-warehouse-caught-fire-after-shrapnel-fell-during-iranian-attack/3872402
wiki_20260303_2026_iranian_strikes_on_kuwait_111,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,*2026 Iranian strikes on Kuwait,Kuwait,Iran,unknown,FALSE,FALSE,,,*2026 Iranian strikes on Kuwait,https://www.aa.com.tr/en/middle-east/bahrain-says-warehouse-caught-fire-after-shrapnel-fell-during-iranian-attack/3872402
wiki_20260303_2026_iranian_strikes_on_qatar_113,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,*2026 Iranian strikes on Qatar,Qatar,Iran,unknown,FALSE,FALSE,25.94493,51.50167,*2026 Iranian strikes on Qatar,https://www.aa.com.tr/en/middle-east/bahrain-says-warehouse-caught-fire-after-shrapnel-fell-during-iranian-attack/3872402
wiki_20260303_2026_iranian_strikes_on_saudi__114,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,*2026 Iranian strikes on Saudi Arabia,Saudi Arabia,Iran,unknown,FALSE,FALSE,28.85198499971899,45.856652068146886,*2026 Iranian strikes on Saudi Arabia,https://www.aa.com.tr/en/middle-east/bahrain-says-warehouse-caught-fire-after-shrapnel-fell-during-iranian-attack/3872402
wiki_20260303_2026_iranian_strikes_on_the_un_115,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,*2026 Iranian strikes on the United Arab Emirates,United Arab Emirates,Iran,unknown,FALSE,FALSE,30.935963500077648,31.32920359228083,*2026 Iranian strikes on the United Arab Emirates,https://www.aa.com.tr/en/middle-east/bahrain-says-warehouse-caught-fire-after-shrapnel-fell-during-iranian-attack/3872402
wiki_20260303_2026_drone_strikes_on_akrotiri_110,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,*2026 drone strikes on Akrotiri and Dhekelia,,unknown,drone,FALSE,FALSE,,,*2026 drone strikes on Akrotiri and Dhekelia,https://www.aa.com.tr/en/middle-east/bahrain-says-warehouse-caught-fire-after-shrapnel-fell-during-iranian-attack/3872402
wiki_20260303_according_to_sources_in_bahrai_109,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,"According to sources in Bahrain, a warehouse caught fire due to shrapnel after a",Bahrain,Iran,unknown,TRUE,FALSE,26.21043,50.70314,"According to sources in Bahrain, a warehouse caught fire due to shrapnel after another Iranian attack.",https://www.iranintl.com/en/202603156953 | https://www.aa.com.tr/en/middle-east/bahrain-says-warehouse-caught-fire-after-shrapnel-fell-during-iranian-attack/3872402
iransm_s105,iranstrikemap,https://iranstrikemap.com,2026-03-03,Assembly of Experts Building (Qom),,Israel,unknown,TRUE,TRUE,34.6416,50.8746,"IDF struck the Assembly of Experts building in Qom — the second Assembly of Experts facility struck in this conflict (s102 was the Tehran building, earlier on March 3). Iranian media reported US and Israeli strikes hit Assembly buildings in both Qom and Tehran. The Qom Assembly premises were evacuated before the strike; no casualties reported. The Assembly of Experts is the 88-member clerical body constitutionally responsible for electing Iran's next supreme leader. The timing coincides with the Assembly's virtual session to choose a Khamenei successor — likely intended to disrupt or intimidate the succession process. Reuters: ""The building housing Iran's Assembly of Experts, tasked with choosing a leader to replace Khamenei, was also flattened by an air attack in the city of Qom, Iranian news agencies said. Israel said it was still reviewing the results of that strike.""",Iran International (opposition channel) | IranIntl.com liveblog (March 3 2026) | Reuters (March 3 2026) | Fars News Agency (semiofficial Iranian)
wiki_20260303_bahrain_reported_that_the_indu_102,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,"Bahrain reported that the industrial area of Ma'ameer was targeted by ""Iranian a",Bahrain,Iran,unknown,TRUE,TRUE,26.21043,50.70314,"Bahrain reported that the industrial area of Ma'ameer was targeted by ""Iranian aggression"" causing ""limited material damage"" and no casualties.",https://globalnews.ca/news/11714341/iran-canadian-troops-middle-east-mcguinty/ | https://www.bbc.com/news/live/c62gg44d53xt?post=asset%3Ab8ff131e-4ad5-4208-aa85-a8d3260e0232#post | https://www.aljazeera.com/news/liveblog/2026/3/8/iran-live-israel-bombs-tehran-oil-depots-attacks-on-gulf-states-continue
wiki_20260303_bahrain_said_that_it_had_inter_108,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,Bahrain said that it had intercepted 125 missiles and 211 drones from Iran since,Bahrain,Iran,drone,FALSE,FALSE,26.21043,50.70314,Bahrain said that it had intercepted 125 missiles and 211 drones from Iran since the beginning of the war.,https://www.gdnonline.com/Details/1378386 | https://www.iranintl.com/en/202603156953 | https://www.aa.com.tr/en/middle-east/bahrain-says-warehouse-caught-fire-after-shrapnel-fell-during-iranian-attack/3872402
wiki_20260303_bahrain_said_that_it_intercept_106,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,Bahrain said that it intercepted Iranian missiles and drones overnight.,Bahrain,Iran,drone,FALSE,FALSE,26.21043,50.70314,Bahrain said that it intercepted Iranian missiles and drones overnight.,https://www.euronews.com/travel/2026/03/12/middle-east-flights-emirates-aiming-to-be-back-at-100-capacity-in-coming-days | https://www.iranintl.com/en/202603119472 | https://www.independent.co.uk/tv/news/iran-war-bahrain-fuel-tank-attack-video-b2936940.html
wiki_20260303_by_the_beginning_of_march_the__98,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,"By the beginning of March, the Bahraini government said it had intercepted 54 dr",Bahrain,unknown,drone,FALSE,FALSE,24.9656,51.54472,"By the beginning of March, the Bahraini government said it had intercepted 54 drone and missile strikes across the country.",https://www.timesofisrael.com/liveblog_entry/us-embassy-in-bahrain-tells-citizens-to-avoid-manama-hotels-could-be-attack-target/ | https://www.bna.bh/en/GeneralCommandofBahrainDefenceForceSuccessfulinterceptionof45Iranianmissilesand9drones.aspx?cms=q8FmFJgiscL2fwIzON1%2BDgg6YEawI3GCv9OZKfcOs7I%3D | https://indianexpress.com/article/world/us-news/bahrain-iran-missile-strikes-us-fifth-fleet-targeted-manama-damage-10561215/lite/
iransm_s090,iranstrikemap,https://iranstrikemap.com,2026-03-03,"CENTCOM Day 4 wave — 'hitting Iran surgically, overwhelmingly, and unapologetically'",Iran,US,unknown,TRUE,FALSE,32.5,53.5,"US Central Command announced a new wave of strikes early March 3 (local time): 'This morning, US forces are hitting Iran surgically, overwhelmingly, and unapologetically.' Day 4 of operations.",CENTCOM (official X post) | NYT liveblog | Al Jazeera
wiki_20260303_debris_from_an_iranian_drone_a_105,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Bahrain,2026-03-03,Debris from an Iranian drone attack on an office tower in the Seef District kill,Iran,Iran,drone,TRUE,FALSE,,,Debris from an Iranian drone attack on an office tower in the Seef District killed a 29-year old Bahraini woman and injured eight others.,https://www.reuters.com/business/energy/bahrains-bapco-announces-force-majeure-operations-2026-03-09/ | https://www.euronews.com/travel/2026/03/12/middle-east-flights-emirates-aiming-to-be-back-at-100-capacity-in-coming-days
wiki_20260303_fujairah_28,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_the_United_Arab_Emirates,2026-03-03,Fujairah,United Arab Emirates,unknown,drone,FALSE,FALSE,25.319096,56.375397,Ship refueling slowed at Fujairah after debris from a drone interception fell in the area of the Fujairah Free Zone.,https://www.timesnownews.com/world/middle-east/us-consulate-dubai-attacked-fire-smoke-iran-strike-bur-dubai-uae-article-153746385 | https://www.reuters.com/business/energy/surge-fujairah-bunker-prices-amid-mideast-conflict-drive-demand-elsewhere-2026-03-03/ | https://www.tradewindsnews.com/casualties/new-vessel-strikes-reported-off-fujairah-as-uae-denies-shortage-of-defensive-missiles/2-1-1953524
iransm_s110,iranstrikemap,https://iranstrikemap.com,2026-03-03,Fujairah Oil Industry Zone (oil storage tanks),United Arab Emirates,Iran,drone,TRUE,TRUE,25.1121,56.3399,"Iranian drone was intercepted over Fujairah (UAE's eastern coast oil hub), but shrapnel/debris fell on the Fujairah Oil Industry Zone, causing a fire at oil storage facilities. The Fujairah Government Media Office confirmed the interception and that debris landed in the zone, causing a fire that was subsequently extinguished and operations resumed. Argus Media confirmed storage operators including Vopak, VTTI, MENA and GPS had already suspended operations and restricted staff access before the strike. Bunkering operations at the port were not suspended. Hindustan Times published photographs showing thick black smoke rising above the Fujairah industrial zone. No casualties reported. Fujairah is critically significant as it lies outside the Strait of Hormuz — it is a key Hormuz bypass hub that Iran appears to be targeting to cut off alternative oil routing. First confirmed Iranian strike on Fujairah's oil infrastructure in the conflict.","Fujairah Government Media Office (official statement via Al Jazeera liveblog — March 3, 2026) | Argus Media (argusmedia.com — March 3, 2026: 'UAE's Fujairah storage tanks hit by drones'; confirmed fire and storage operator suspensions) | Arab News (March 3, 2026: 'Drone debris causes fire at oil industry site in UAE's city of Fujairah, operations resume: media office')"
iransm_s095,iranstrikemap,https://iranstrikemap.com,2026-03-03,Hezbollah Command Centers and Weapons Storage — IDF Day 4 Wave,,Israel,airstrike,TRUE,FALSE,33.8547,35.5114,"IDF Day 4 strike wave on Dahiyeh (southern Beirut suburbs) — Israeli military confirmed it was attacking Hezbollah command centers and weapons storage facilities in Beirut early Tuesday March 3. Part of IDF Chief of Staff Eyal Zamir's declared ""offensive campaign"" against Hezbollah following the group's opening of the Lebanon front on March 2. IDF simultaneously struck Iran and Lebanon. Hezbollah's leader Naim Qassem declared a ""marked target for elimination"" by Israeli Defense Minister Katz. Lebanon Health Ministry toll stands at 52 killed, 154 wounded from all Lebanon strikes since Day 2.","NYT live updates (March 3 2026, 1:02 AM ET update): ""the Israeli military said it was attacking again in Iran and in Lebanon, targeting Hezbollah command centers and weapons storage facilities in the capital, Beirut"" | IDF official statement (cited by NYT, March 3 2026) — Day 4 offensive campaign against Hezbollah, declared by IDF Chief of Staff Zamir as part of multi-wave operation"
iransm_s092,iranstrikemap,https://iranstrikemap.com,2026-03-03,Hotel housing US troops — Erbil city center,Iraq,Iran,drone,TRUE,FALSE,36.1901,44.0091,"The Islamic Resistance in Iraq launched a drone swarm attack on a hotel in Erbil housing US troops — early hours of March 3, 2026 (local time). The Iran-aligned faction Saraya Awliya Al Dam also claimed involvement. Video from Iraqi Naya news agency showed a building engulfed in flames. This is the first attack by Iran-aligned Iraqi militant groups on US positions in the Kurdistan Region since the start of the Iran conflict. Al Jazeera and Reuters confirmed the strike. No US casualty figures released; US forces had an active presence in Erbil under a continuing agreement through 2026.","Reuters (via ABC Australia: ""The Islamic Resistance in Iraq says it has carried out a drone swarm attack on a hotel housing US troops in Erbil"" — March 3, 2026) | Al Jazeera (via Wikipedia 2026 Iran conflict, 3 March section — March 3, 2026) | The National News (""An Iran-backed faction, Saraya Awliya Al Dam, used drones to strike US forces in Erbil"" — March 3, 2026) | Times Now / Moneycontrol (video from Iraqi Naya news agency showing building engulfed in flames in Erbil)"
wiki_20260303_in_late_february_2026_the_unit_69,wikipedia,https://en.wikipedia.org/wiki/2026_Iranian_strikes_on_Qatar,2026-03-03,"In late February 2026, the United States and Israel launched strikes on Iran to ",Iran,Iran,airstrike,FALSE,FALSE,27.47611,52.6075,"In late February 2026, the United States and Israel launched strikes on Iran to target strategic facilities and core government officials, starting a conflict that is currently ongoing. The airstrikes were announced by United States President Donald Trump shortly after, who stated that the operation was intended to impair the Iranian nuclear program and initiate a regime change following unsuccessful talks immediately prior. Iran retaliated shortly after, striking nations across the Persian Gulf, including Qatar and its close neighbors Bahrain, Saudi Arabia and the United Arab Emirates.",https://www.reuters.com/world/middle-east/us-iran-nuclear-talks-resume-geneva-against-backdrop-military-threat-2026-02-26/ | https://www.timesofisrael.com/liveblog_entry/trump-indicates-goal-of-iran-strikes-is-to-topple-regime-tells-iranian-people-when-we-are-finished-take-over-your-government/ | https://web.archive.org/web/20260228190440/https://www.timesofisrael.com/liveblog_entry/trump-indicates-goal-of-iran-strikes-is-to-topple-regime-tells-iranian-people-when-we-are-finished-take-over-your-government/
